,name,address,price,rating,amenities
43,OYO Home 78029 Delightful Studios Vadgaon Budruk,"Vadgaon Budruk, Pune",₹1733,(144 Ratings),"AC, TV, Shower Head"
44,SPOT ON 44688 Hotel Moti Mahal,"Near Bank of Maharashtra, Pulachi Wadi, Pune",₹1013,(570 Ratings),"Reception, Queen Sized Bed, Power backup"
45,Capital O 44215 Hotel Majestic Executive,"Near Maiee Mangeshkar Hospital, Viola Society, Pune",₹1827,(150 Ratings),"Private Entrance, Parking Facility, Reception"
46,OYO 11601 Hotel Karishma,"Near KEM Hospital, Navale Road, Pune",₹1381,(222 Ratings),"Parking Facility, Free Wifi, TV"
47,OYO Home 78024 Yana Heights,"Kondhwa, Pune",₹1338,(113 Ratings),"Private Entrance, Parking Facility, Free Wifi"
48,Capital O 2327 Hotel Eco Inn,"Near Air Force Station, Viman Nagar, Pune",₹1699,,"Parking Facility, Elevator, Free Wifi"
49,Capital O 72870 Hotel Chaitanya Executive,"Near Shree Control Chowk, Dhayari,",₹1668,(296 Ratings),"Doctor on Call, Reception, Public Washroom"
50,OYO Home 78023 Yana Heights,"Kondhwa, Pune",₹2104,(115 Ratings),"Parking Facility, Private Entrance, Free Wifi"
51,OYO 80702 Royal Lodge,"India, Pune",₹1464,(10 Ratings),"Reception, Caretaker, Daily Housekeeping"
52,OYO Flagship 76624 Hotel Green Leaves ,"Near Mohammad Al Amin Masjid, Pune",₹963,(732 Ratings),"Doctor on Call, Parking Facility, Reception"
53,OYO 76128 Hotel Star Inn,"Near AXIS bank, Sakore Nagar, Pune",₹1532,(349 Ratings),"Parking Facility, Free Wifi, Power backup"
54,Collection O 30070 Hotel Rajdhani,"Near SBI, Somwar Peth, Pune",₹2118,(1453 Ratings),"Parking Facility, Private Entrance, Reception"
55,SPOT ON 78052 New Honey Lodging,"India, Pune",₹1234,,"Doctor on Call, Reception, Queen Sized Bed"
56,SPOT ON 79731 Meghraj Lodge,"India, Pune",₹1014,(9 Ratings),"Doctor on Call, Parking Facility, Window"
57,OYO Flagship 44951 Chaitanya,"Near Jain Mandir, Jadhav Nagar Lane No. 11, Pune",₹1000,(2505 Ratings),"Parking Facility, Reception, Free Wifi"
58,OYO Home 78726 Pleasant Stay Baner,"Balewadi, Pune",₹1430,(90 Ratings),"Parking Facility, Free Wifi, Power backup"
